Phase,NO,CATEGORY,State,SCHOOL
3,53,SR,,"SK Bukit Rokan Utara (F), Negeri Sembilan"
3,54,SM,,"SMK Seri Jengka, Pahang"
3,55,SM,,"SMV Sultan Hj. Ahmad Shah, Pahang"
3,56,SM,,"SMK Terusan Sugut, Sabah"
3,57,SR,,"SK Lingga Baru, Sabah"
3,58,SR,,"SK Ba 'Kelalan, Sarawak"
3,59,SR,,"SK Jalan Tiga, Selangor"
3,60,SR,,"SK Sri Langat, Selangor"
4,1,SM,,"Johor Science Secondary School, Johor"
4,2,SM,,"SMJK Keat Hwa, Kedah"
4,3,SM,,"SMK Infant Jesus Convent (M), Melaka"
4,4,SM,,"SMS Tuanku Jaafar, Negeri Sembilan"
4,5,SM,,"SMSP Federal Labu, Negeri Sembilan"
4,6,SM,,"SBPI Jempol, Negeri Sembilan"
4,7,SM,,"SMK Convent Taiping, Perak"
4,8,SM,,"SBPI Gopeng, Perak"
4,9,SM,,"SMK Convent Green Lane, Penang"
4,10,SM,,"SMS Sabah, Sabah"
4,11,SM,,"SBPI Sabak Bernam, Selangor"
4,12,SM,,"SMK Dato 'Penggawa Barat, Johor"
4,13,SM,,"SM Teknik Johor Bahru, Johor"
4,14,SR,,"SJKT Ladang Pamol, Johor"
4,15,SM,,"SMK Ismail Petra (Integration), Kelantan"
4,16,SM,,"SMK Agama Lati, Kelantan"
4,17,SR,,"SK Seri Wakaf Bharu, Kelantan"
4,18,SR,,"SK Paya Rumput, Melaka"
4,19,SM,,"SMK Sultanah Hajjah Kalsom, Pahang"
4,20,SM,,"SMK Seri Pekan, Pahang"
4,21,SR,,"SK Seri Ampang, Perak"
4,22,SR,,"SK Agama (MIS) Miri, Sarawak"
4,23,SM,,"Bestari Religion Secondary School, Selangor"
4,24,SR,,"SK Taman Megah, Selangor"
4,25,SR,,"SK Tengku Mahmud, Terangganu"
4,26,SM,,"SMK Seri Bintang Utara, Kuala Lumpur"
4,27,SR,,"SJKC Jalan Davidson, Kuala Lumpur"
4,28,SR,,"SK St. Anne's Convent, Labuan"
4,29,SR,,"SK Mantob, Sabah"
4,30,SR,,"SK Perancangan Ranau, Sabah"
5,1,SM,,"SM Sains Kota Tinggi, Johor"
5,2,SR,,"SK (P) Sultan Ibrahim, Johor"
5,3,SM,,"SM Science Sultan ISKandar, Johor"
5,4,SM,,"SMK (P) Temenggong Ibrahim, Johor"
5,5,SM,,"SM Sains Pokok Sena, Kedah"
5,6,SM,,"SM Science Pasir Puteh, Kelantan"
5,7,SR,,"SK Zainab (1), Selantan"
5,8,SR,,"SK Convent Infant Jesus (2), Melaka"
5,9,SR,,"SK Assunta Convent (M), Pahang"
5,10,SM,,"SBPI Temerloh, Pahang"
5,11,SM,,"SBPI Kuantan, Pahang"
5,12,SR,,"SK Marian Convent, Perak"
5,13,SM,,"SMJK Jit Sin (CF), Penang"
5,14,SM,,"SBPI Rawang, Selangor"
5,15,SM,,"SMK Katholik (M), Selangor"
5,16,SM,,"SM Science Kuala Terengganu, Terengganu"
5,17,SM,,"SBPI Batu Rakit, Terengganu"
5,18,SM,,"SM Science Labuan (SMSL), Labuan"
5,19,SM,,"SMK Bandar Putra, Jonor"
5,20,SM,,"SMK Mohd Khalid, Johor"
5,21,SM,,"SMKA Maahad Muar, Johor"
5,22,SM,,"SMK Sultan Badlishah, Kedah"
5,23,SM,,"SMK Ibrahim, Kedah"
5,24,SM,,"SMK Agama Sik, Kedah"
5,25,SM,,"SMK Kubang Bemban, Kelantan"
5,26,SM,,"SMK (A) Tok Bachok, Kelantan"
5,27,SM,,"SMKA Melor, Kelantan"
5,28,SR,,"SK Pulapah, Negeri Sembilan"
5,29,SM,,"SMK Sultan Abu Bakar, Pahang"
5,30,SR,,"SJK (T) Ringlet, Pahang"
5,31,SR,,"SJK (C) Ave Maria Convent, Perak"
5,32,SM,,"SMK Bukit Jambul, Penang"
5,33,SM,,"SMK Dato 'Onn, Penang"
5,34,SM,,"SMKA Nibong Tebal, Penang"
5,35,SM,,"Tun Datu Tuanku Hj Bujang College, Sarawak"
5,36,SR,,"SK Religion Datuk Hj. Abdul Kadir Hasan, Sarawak"
5,37,SM,,"SMK USJ 12, Selangor"
5,38,SM,,"SMKA Maahad Hamidiah, Selangor"
5,39,SM,,"College of Science Pend. Terengganu Islamic State (SM Imtiaz), Terengganu"
5,40,SM,,"SMK Mak Lagam, Terengganu"
5,41,SM,,"High School (Upper) Sultan Zainal Abidin, Terengganu"
5,42,SR,,"SK Rantau Petronas, Terengganu"
5,43,SR,,"SK Seri Berang, Terengganu"
5,44,SR,,"SK Penggu, Kelantan"
5,45,SR,,"SK Tempoyang, Pahang"
5,46,SR,,"Don Bosco SRK, Sabah"
5,47,SR,,"SK Paon Temaga, Sarawak"
5,48,SR,,"SK Dusun, Terengganu"
6,1,SM,,"SMK (P) Sultan Abu Bakar, Johor"
6,2,SM,,"SMK High Kluang, Johor"
6,3,SM,,"SM Science Sultan Mohamad Jiwa, Kedah"
6,4,SR,,"SK Convent Infant Jesus (1), Melaka"
6,5,SM,,"SM Science Sultan Haji Ahmad Shah, Pahang"
6,6,SR,,"SK Minden Height, Pulau Pinang"
6,7,SM,,"SM Science Dungun, Terengganu"
6,8,SM,,"SMK Alor Akar, Pahang"
6,9,SR,,"SK Seri Indera, Perlis"
6,10,SR,,"SJKC Kwang Hwa, Penang"
6,11,SR,,"SK Agama Sibu, Sarawak"
6,12,SR,,"SK USJ 2, Selangor"
6,13,SM,,"SMK Seafield, Selangor"
6,14,SR,,"SK Taman Bukit Maluri, Kuala Lumpur"
6,15,SR,,"SK Seliau, Negeri Sembilan"
7,1,SR,,"SK Saint Thomas, Pahang"
7,2,SM,,"SMJK Chung Ling Butterworth, Penang"
7,3,SM,,SMJK Chung Ling Pulau Pinang
7,4,SR,,"SK St Teresa (M), Sarawak"
7,5,SM,,"SMK Chukai, Terengganu"
7,6,SR,,"SK Kuala Berang, Terengganu"
7,7,SR,,"SK Paka Ii, Terengganu"
7,8,SR,,"SK Convent (2) Bukit Nanas, Kuala Lumpur"
7,9,SM,,"SMK Dato 'Penggawa Timur, Johor"
7,10,SM,,"SMK Seri Kenangan, Johor"
7,11,SM,,SMKA Segamat Johor
7,12,SM,,"SMKA Bandar Penawar, Johor"
7,13,SM,,"SMK Tinggi Batu Pahat, Johor"
